timestamp,total_agents,active_agents,failed_agents,average_energy,total_distance,active_missions,completed_missions,mission_success_rate,total_messages,packet_delivery_rate,energy_efficiency,task_completion_rate,system_uptime
0.016,20,20,0,0.8544845839509687,0.08800000000000233,0,0,0.0,11,1.6363636363636365,17.089691679019374,0.0,1.0
0.032,20,20,0,0.8544849183224427,0.3599999999999985,0,0,0.0,22,1.6363636363636365,17.089698366448854,0.0,1.0
0.048,20,20,0,0.8544852253399139,0.6399999999999955,0,0,0.0,33,1.606060606060606,17.089704506798277,0.0,1.0
0.064,20,20,0,0.8544855082388022,0.9599999999999907,0,0,0.0,44,1.6136363636363635,17.089710164776044,0.0,1.0
0.08,20,20,0,0.8544857743498083,1.3199999999999887,0,0,0.0,55,1.6181818181818182,12.946754156815388,0.0,1.0
0.096,20,20,0,0.8544860177695645,1.6559999999999846,0,0,0.0,66,1.621212121212121,10.319879441661502,0.0,1.0
0.112,20,20,0,0.8544862390525111,1.9999999999999873,0,0,0.0,77,1.5974025974025974,8.544862390525164,0.0,1.0
0.128,20,20,0,0.8544864573227718,2.34399999999999,0,0,0.0,88,1.5795454545454546,7.290840079545865,0.0,1.0
0.14400000000000002,20,20,0,0.8544866795041438,2.711999999999989,0,0,0.0,99,1.5757575757575757,6.301524185133829,0.0,1.0
0.16000000000000003,20,20,0,0.8544868950665159,3.079999999999986,0,0,0.0,110,1.5818181818181818,5.548616201730647,0.0,1.0
